Title,URL/DOI,Abstract,screening_result,screening_result_reason
Metrics of Success: Evaluating User Satisfaction in AI Chatbots,https://doi.org/10.1145/3704137.3704182,"The rapid advancement of Artificial Intelligence (AI), particularly through Large Language Models (LLMs), has catalysed a technological revolution, leading to the widespread adoption of AI-driven chatbots across industries. OpenAI’s customisable generative pre-trained transformer (GPT) offerings have popularised generative AI, enabling organisations of all sizes to implement chatbots for customer support. This development presents an opportunity for businesses to offer 24/7, cost-efficient customer service that can overcome the historical limitations of chatbots that lack a ""human element."" However, despite the proliferation of AI chatbots, there remains a crucial need to evaluate their effectiveness in meeting user needs and preferences for human-like interaction. Current service quality assessment tools, such as SERVQUAL and E-SERVQUAL, are unable to evaluate AI-specific capabilities like language intelligence and recognition. Existing research also lacks information on factors that affect user satisfaction and the continued use of AI chatbots. Based on a mixed-methods study, this paper proposes a new instrument for measuring user satisfaction with AI chatbots, specifically for customer support roles. Using the Stanford five-step Design Thinking Process, this study devised a customer support AI chatbot evaluation instrument through a literature review, Cheatstorming, and SCAMPER techniques, followed by testing in a Danish company. The research employs Prentice and Nguyen’s three-stage scale development process to ensure content, reliability, and construct validity, addressing gaps in current scholarship and advancing understanding of AI chatbot user satisfaction.",Yes,"논문 초록에서 사용자 만족도를 측정하기 위한 새로운 평가 도구를 개발하고, 이를 검증하는 과정을 포함하고 있음을 명확히 언급하고 있습니다. 또한, 연구는 정량적 평가를 위해 신뢰성과 타당성을 확보하는 방법론을 사용했다고 설명하고 있습니다."
Design Principles for Generative AI Applications,https://doi.org/10.1145/3613904.3642466,"Generative AI applications present unique design challenges. As generative AI technologies are increasingly being incorporated into mainstream applications, there is an urgent need for guidance on how to design user experiences that foster effective and safe use. We present six principles for the design of generative AI applications that address unique characteristics of generative AI UX and offer new interpretations and extensions of known issues in the design of AI applications. Each principle is coupled with a set of design strategies for implementing that principle via UX capabilities or through the design process. The principles and strategies were developed through an iterative process involving literature review, feedback from design practitioners, validation against real-world generative AI applications, and incorporation into the design process of two generative AI applications. We anticipate the principles to usefully inform the design of generative AI applications by driving actionable design recommendations.",No,"논문 초록에서는 정량적 평가를 실시했다는 언급이 없으며, 주로 설계 원칙과 전략을 제시하는 내용에 초점이 맞춰져 있습니다. 따라서, 이 논문이 정량적 평가를 수행했다고 보기 어렵습니다."
The Human Side of XAI: Bridging the Gap between AI and Non-expert Audiences,https://doi.org/10.1145/3615335.3623062,"Machine Learning is widely used by practitioners to solve complex challenges. However, despite being trusted by 76% of the public, scientists struggle to explain the rationale behind machine learning-based decisions. This is concerning because research has shown that people often rely on inaccurate machine learning recommendations, even when the system is not confident or they have prior knowledge. To address these issues, there is a crucial need for greater transparency and education around machine learning decision making. In this work, we propose a set of guidelines and design implications to communicate eXplainable Artificial Intelligence models to the general audience. We do this through a literature review of the latest and eXplainable Artificial Intelligence methods and validate these insights through a user study encompassing the participants’ interpretations of the eXplainable Artificial Intelligence solutions. Combining the insights from this mixed-method study, we identify seven main communication guidelines for improving machine learning models understanding. This study contributes to the broader discussion of ethical implications surrounding opaque machine learning models in decision-making. Through the development of guidelines, we hope to bridge the gap between machine learning experts and the public, enabling a better common understanding of its increasing importance in our lives.",Yes,"논문 초록에서 사용자 연구를 통해 통찰을 검증하는 과정을 언급하며, 이를 통해 제시된 가이드라인의 유효성을 평가하는 것으로 보입니다. 또한, 다양한 연구 방법을 활용하여 데이터를 수집하고 분석하는 정량적 또는 정성적 평가를 실시했음을 시사합니다."
What do we know about Hugging Face? A systematic literature review and quantitative validation of qualitative claims,https://doi.org/10.1145/3674805.3686665,"Background: Software Package Registries (SPRs) are an integral part of the software supply chain. These collaborative platforms unite contributors, users, and code for streamlined package management. Prior work has characterized the SPRs associated with traditional software, such as NPM (JavaScript) and PyPI (Python). Pre-Trained Model (PTM) Registries are an emerging class of SPR of increasing importance, because they support the deep learning supply chain. A growing body of empirical research has examined PTM registries from various angles, such as vulnerabilities, reuse processes, and evolution. However, no synthesis provides a systematic understanding of current knowledge. Furthermore, much of the existing research includes non-quantified qualitative observations. Aims: First, we aim to provide a systematic knowledge synthesis. Second, we quantify qualitative claims. Methods: We conducted a systematic literature review (SLR). We then observed that some of the claims are qualitative, lacking quantitative evidence. We identify quantifiable metrics associated with those claims, and measure in order to substantiate these claims. Results: We identify 12 claims about PTM reuse on the HuggingFace platform, 4 of which lack quantitative support. We tested 3 of these claims through a quantitative analysis, and directly compare the fourth with traditional software. Our most notable findings are: (1) PTMs have a significantly higher turnover rate than traditional software, indicating more rapid evolution; and (2) There is a strong correlation between documentation quality and PTM popularity. Conclusions: Our findings validate several qualitative research claims with concrete metrics, confirming prior research. Our measures motivate further research on the dynamics of PTM reuse.",Yes,"논문은 정량적 평가를 수행하기 위해 관련 지표를 식별하고, 이를 통해 4개의 정성적 주장 중 3개를 검증하는 양적 분석을 실시하였음을 명시하고 있습니다. 따라서, 정량적 평가가 이루어지고 있다고 판단됩니다."
AI Integration in the IT Professional Workplace: A Scoping Review and Interview Study with Implications for Education and Professional Competencies,https://doi.org/10.1145/3689187.3709607,"As Artificial Intelligence (AI) continues transforming workplaces globally, particularly within the Information Technology (IT) industry, understanding its impact on IT professionals and computing curricula is crucial. This research builds on joint work from two countries, addressing concerns about AI's increasing influence in IT sector workplaces and its implications for tertiary education. The study focuses on AI technologies such as generative AI (GenAI) and large language models (LLMs). It examines how they are perceived and adopted and their effects on workplace dynamics, task allocation, and human-system interaction. IT professionals, noted as early adopters of AI, offer valuable insights into the interplay between AI and work engagement, highlighting the significant competencies required for digital workplaces. This study employs a dual-method approach, combining a systematic and multi-vocal literature review and qualitative research methods. These included a thematic analysis of a set of 47 interviews conducted between March and May of 2024 with IT professionals in two countries (New Zealand and Sweden). The research aimed to understand the implications for computing students, education curricula, and the assessment of emerging professional competencies. The literature review found insufficient evidence addressing comprehensive AI practice methodologies, highlighting the need to both develop and regulate professional competencies for effective AI integration. Key interview findings revealed diverse levels of GenAI adoption, ranging from individual experimentation to institutional integration. Participants generally expressed positive attitudes toward the technology and were actively pursuing self-learning despite some concerns. The themes emerging from the interviews included AI's role in augmenting human tasks, privacy and security concerns, productivity enhancements, legal and ethical challenges, and the evolving need for new competencies in the workplace. The study underscores the critical role of competency frameworks in guiding professional development and ensuring preparedness for an AI-driven environment. Additionally, it highlights the need for educational institutions to adapt curricula to address these emerging demands effectively.",Yes,"논문은 정량적 연구 방법인 인터뷰를 통해 데이터를 수집하고 분석했으며, 47명의 IT 전문가와의 인터뷰를 통해 다양한 수준의 AI 도입 현황과 관련 태도, 인식 등을 정량적으로 파악하고 있습니다. 이러한 인터뷰 분석은 정량적 평가의 일환으로 볼 수 있습니다."
The impact of Artificial Intelligence on the Socioeconomic factors in the UAE,https://doi.org/10.1145/3639592.3639609,"Artificial Intelligence (AI) is rapidly transforming industries worldwide, including the United Arab Emirates (UAE). As the UAE aims to become a leader in AI adoption and deployment, it is crucial to understand its impact on the country's socioeconomic factors. This research proposal aims to investigate the impact of AI on employment, wage inequality, productivity, innovation, and ethical implications in the UAE. The research will adopt a mixed-methods approach combining a systematic literature review and a quantitative survey to gather and assess data. The literature review will identify relevant literature to establish the research framework, while the survey will target leaders, employees, and end-users of organizations operating in the UAE across various sectors. A sample size of no less than 250 respondents who are predominantly leadership executives will be used, and the survey will consist of 30 questions, including demographic questions, and a 5-point Likert scale to measure respondents’ level of agreement or disagreement with the statements presented. Ethical considerations, including informed consent and anonymity, will be addressed. The findings from this research will contribute to a better understanding of the impact of AI on the socioeconomic factors in the UAE and help inform the development of appropriate policies and strategies for the responsible adoption and deployment of AI technologies in the country. The research proposal presents an exciting opportunity to explore a relevant and timely topic that will shed light on the potential impact of AI on the UAE's socioeconomic development.",Yes,"논문 초록에서 설문조사를 통한 정량적 데이터를 수집하는 방법이 명확히 언급되어 있으며, 5점 Likert 척도를 사용하여 응답자의 의견을 수치화하는 정량적 평가가 실시되고 있음을 알 수 있습니다. 따라서 정량적 평가를 수행하는 것으로 판단됩니다."
Using Generative AI Chatbot for enhancing people's digital participation,https://doi.org/10.1145/3680127.3680194,"Aiming to improve communication and increase the access to available channels and tools, chatbots, or conversational agents, are being used to support people´s digital participation and foster civic engagement. However, conversational agents attend only expected cases of participation, that is, those based on e-consulting, e-decision making and e-informing. Hence, chatbots don´t concern non mapped cases of self-mobilization, besides there are problems in human-computer communication and in the transmission of information caused by digital divide that hinder peoples ‘participation. Literature review indicates that generative AI chatbot shall be used in non-expected interactions between human and conversational agents. Therefore, this paper discusses how chatbots could interact within self-mobilizations’ types of digital participation, concerning obstacles like lack of infrastructure and digital illiteracy. Using design science research, we propose the GenPart, a generative AI-chatbot model for enhancing people´s digital participation. We claim that this artifact can be used by researchers and practitioners who want to promote the integration between people, organizations, and information in digital platforms, promoting citizen participation and civic engagement.",No,"논문 초록에서는 제안된 AI 챗봇 모델인 GenPart의 설계와 활용 방안에 대해 논의하고 있지만, 구체적인 정량적 평가 방법이나 실험 결과에 대한 언급이 없습니다. 따라서 정량적 평가를 실시했다고 보기 어렵습니다."
Using Artificial intelligence for Recycling- A Case Study in Taiwan's Resource Recycling Industry,https://doi.org/10.1145/3624875.3624897,"Resource recycling industries are restricted by the mixed composition of waste, the ratio of recycled material dependent on experience, and the quality inspection relies on physical assessment, resulting in problems such as the inability to optimize manufacturing process parameters and unstable product quality. Artificial Intelligence (AI) has developed rapidly in recent years and adopted in various industries. From literature review, AI is being increasingly used in the resource recycling industry to optimize processes, improve efficiency, and enhance sustainability. This study used machine learning, an AI technology, to conduct model training and identify optimal model validation in Taiwan's resource recycling industry. A case example was implemented to reduce the cost by AI's recommendation of more accurate borax blending ratios. By accepting AI's recommendation of accurate borax blending ratios, it can reduce the non-compliance rate by 45% and at the same time reduce the raw material usage by approximately 2∼3%, saving approximately N.T.D. 1-2 million per year. This study pioneered artificial intelligence technology to improve manufacturing process efficiency and optimization of product quality in the resource recycling industry. The empirical results demonstrate that the application of AI technology contributes to the improvement of traditional manufacturing process problems and enhances the industry's overall production efficiency and quality.",Yes,"논문 초록에서 머신러닝을 활용한 모델 훈련과 검증, 그리고 최적화된 모델의 적용 사례를 언급하며 정량적 평가를 실시했음을 보여줍니다. 또한, AI 추천으로 인한 비용 절감과 품질 향상 등 구체적인 수치와 성과를 제시하고 있어 정량적 평가가 수행된 것으로 판단됩니다."
Ethical Tensions in Applications of AI for Addressing Human Trafficking: A Human Rights Perspective,https://doi.org/10.1145/3555186,"In the last two decades, human trafficking (where individuals are forcibly exploited for the profits of another) has seen increased attention from the artificial intelligence (AI) community. Clear focus on the ethical risks of this research is critical given that those risks are disproportionately born by already vulnerable populations. To understand and subsequently address these risks, we conducted a systematic literature review of computing research leveraging AI to combat human trafficking and apply a framework using principles from international human rights law to categorize ethical risks. This paper uncovers a number of ethical tensions including bias endemic in datasets, privacy risks stemming from data collection and reporting, and issues concerning potential misuse. We conclude by highlighting four suggestions for future research: broader use of participatory design; engaging with other forms of trafficking; developing best practices for harm prevention; and including transparent ethics disclosures in research. We find that there are significant gaps in what aspects of human trafficking researchers have focused on. Most research to date focuses on aiding criminal investigations in cases of sex trafficking, but more work is needed to support other anti-trafficking activities like supporting survivors, adequately address labor trafficking, and support more diverse survivor populations including transgender and nonbinary individuals.",Yes,"논문 초록에서 윤리적 위험을 평가하기 위해 국제 인권법 원칙을 적용하는 프레임워크를 사용했다고 명시되어 있으며, 데이터 편향, 프라이버시 위험, 오용 가능성 등 윤리적 문제를 분석하는 과정이 언급되어 있습니다. 이는 정량적 평가뿐만 아니라 체계적인 분석과 평가를 수행했음을 시사합니다."
A maturity assessment framework for conversational AI development platforms,https://dl.acm.org/doi/10.1145/3412841.3442046,"Conversational Artificial Intelligence (AI) systems have recently sky-rocketed in popularity and are now used in many applications, from car assistants to customer support. The development of conversational AI systems is supported by a large variety of software platforms, all with similar goals, but different focus points and functionalities. A systematic foundation for classifying conversational AI platforms is currently lacking. We propose a framework for assessing the maturity level of conversational AI development platforms. Our framework is based on a systematic literature review, in which we extracted common and distinguishing features of various open-source and commercial (or in-house) platforms. Inspired by language reference frameworks, we identify different maturity levels that a conversational AI development platform may exhibit in understanding and responding to user inputs. Our framework can guide organizations in selecting a conversational AI development platform according to their needs, as well as helping researchers and platform developers improving the maturity of their platforms.",Yes,논문 초록에서 제안하는 프레임워크는 대화형 AI 개발 플랫폼의 성숙도 수준을 평가하는 정량적 평가 방법을 포함하고 있음을 시사합니다. 이를 통해 플랫폼의 성숙도를 체계적으로 측정하고 평가하는 평가 기준이 마련되어 있음을 알 수 있습니다.
