Title,URL/DOI,Abstract,screening_result,screening_result_reason
Recent Advances of Differential Privacy in Centralized Deep Learning: A Systematic Survey,https://dl.acm.org/doi/10.1145/3712000,"Differential privacy has become a widely popular method for data protection in machine learning, especially since it allows formulating strict mathematical privacy guarantees. This survey provides an overview of the state of the art of differentially private centralized deep learning, thorough analyses of recent advances and open problems, as well as a discussion of potential future developments in the field. Based on a systematic literature review, the following topics are addressed: emerging application domains, differentially private generative models, auditing and evaluation methods for private models, protection against a broad range of threats and attacks, and improvements of privacy-utility tradeoffs.",No,논문 초록에서 해당 논문은 체계적인 문헌 조사를 기반으로 한 서베이 논문임을 명확히 밝히고 있습니다. 따라서 직접적인 독창적 연구 결과보다는 기존 연구들을 종합하고 분석하는 내용에 초점이 맞춰져 있습니다.
Opportunities and Challenges of Using ChatGPT as a Teaching Assistant in English Language Teaching: A Systematic Literature Review,https://doi.org/10.1145/3700297.3700362,"With the development of artificial intelligence (AI) technology, particularly the widespread application of ChatGPT in the field of natural language processing, the education sector has gradually recognized its potential in enhancing the effectiveness of English language teaching (ELT). Although there are numerous relevant studies, there has yet to be a comprehensive analysis of this topic through a systematic literature review (SLR). Therefore, this study adopts the method of systematic literature review, selecting relevant literature from the Scopus and Web of Science (WoS) databases, and rigorously evaluating and screening studies that meet the criteria, to systematically analyze the current state of ChatGPT's application in ELT. Through analyzing the publication trends, geographical distribution, opportunities, and challenges, as well as the most frequent keywords, this study provides valuable insights for scholars, educators, and policymakers, particularly regarding how to more effectively utilize ChatGPT to enhance the quality of ELT. The study also proposes future research directions, including: (1) increasing attention to the potential opportunities of ChatGPT in ELT, (2) deepening the analysis of the challenges encountered in its application, and (3) offering specific teaching suggestions for the integration of ChatGPT into teaching practices. Although research in this field is still in its initial development stages, with ongoing technological advancements and changing educational needs, this field holds significant potential for future research and application. ChatGPT is poised to bring groundbreaking progress and innovation, offering new pathways and tools for the reform and optimization of ELT.",No,"본 논문은 체계적 문헌 고찰(Systematic Literature Review)을 수행하여 기존 연구들을 분석하고 종합하는 연구로, 직접적인 독창적 실험이나 새로운 연구 결과를 제시하지 않는다. 따라서 새로운 연구 내용을 포함한 연구 논문으로 보기 어렵다."
"Cold Start Latency in Serverless Computing: A Systematic Review, Taxonomy, and Future Directions",https://doi.org/10.1145/3700875,"Recently, academics and the corporate sector have paid attention to serverless computing, which enables dynamic scalability and an economic model. In serverless computing, users only pay for the time they actually use resources, enabling zero scaling to optimise cost and resource utilisation. However, this approach also introduces the serverless cold start problem. Researchers have developed various solutions to address the cold start problem, yet it remains an unresolved research area. In this article, we propose a systematic literature review on cold start latency in serverless computing. Furthermore, we create a detailed taxonomy of approaches to cold start latency, which we use to investigate existing techniques for reducing the cold start time and frequency. We have classified the current studies on cold start latency into several categories such as caching and application-level optimisation-based solutions, as well as Artificial Intelligence/Machine Learning-based solutions. Moreover, we have analyzed the impact of cold start latency on quality of service, explored current cold start latency mitigation methods, datasets, and implementation platforms, and classified them into categories based on their common characteristics and features. Finally, we outline the open challenges and highlight the possible future directions.",No,"본 논문은 서버리스 컴퓨팅의 콜드 스타트 지연 문제에 대한 체계적인 문헌 리뷰와 분류 체계를 제시하는 리뷰 논문이다. 직접적인 실험이나 새로운 연구 결과를 제시하기보다는 기존 연구들을 분석하고 정리하는 데 중점을 두고 있어, 독창적인 연구 내용이 포함된 연구 논문으로 보기 어렵다."
Deep Learning for Variable Renewable Energy: A Systematic Review,https://doi.org/10.1145/3586006,"In recent years, both fields, AI and VRE, have received increasing attention in scientific research. Thus, this article’s purpose is to investigate the potential of DL-based applications on VRE and as such provide an introduction to and structured overview of the field. First, we conduct a systematic literature review of the application of Artificial Intelligence (AI), especially Deep Learning (DL), on the integration of Variable Renewable Energy (VRE). Subsequently, we provide a comprehensive overview of specific DL-based solution approaches and evaluate their applicability, including a survey of the most applied and best suited DL architectures. We identify ten DL-based approaches to support the integration of VRE in modern power systems. We find (I) solar PV and wind power generation forecasting, (II) system scheduling and grid management, and (III) intelligent condition monitoring as three high potential application areas.",No,"본 논문은 딥러닝과 가변 재생에너지 분야의 기존 연구들을 체계적으로 검토하고 정리한 문헌 리뷰 논문으로, 직접적인 독창적 연구 결과나 실험을 제시하지 않습니다. 따라서 새로운 연구 기여보다는 기존 연구의 종합과 평가에 중점을 두고 있습니다."
An In-Depth Analysis of Artificial Intelligence on Service Capabilities of Humanoid Robots,https://doi.org/10.1145/3700706.3700730,"Artificial intelligence (AI) emulates human intelligence in digital devices and machines. A humanoid robot is designed to imitate the look and form of a human body and is primarily used for humanitarian assistance and interaction. AI is applied to humanoid robots to allow intelligent behavior and decision-making, resulting in the ability to execute service activities and achieve goals intelligently in the human-robot interaction environment. The paper is a systematic literature review of studies published in the last four years that presents and assesses how AI techniques and methods have been applied to humanoid robots to implement and enhance service capabilities. The research papers used for the systematic literature review were carefully selected under the directives of the PRISMA method. Eighty studies were screened, and eighteen were used for the review. The results show that the primary AI technique applied in humanoid robots is the Convolutional Neural Network (CNN). The results show that the effective AI techniques used in humanoid robots based on a specific area are Hybrid Convolutional Neural Network (CNN) – Long-Short Term Memory (LSTM), Artificial Neural Network (ANN), Convolutional Neural Network (CNN), Deep Convolutional Neural Network DCNN), Recurrent Neural Network (RNN), and Grow-when-required Network (GWR). The study provides AI techniques and methods utilized in modern studies that can be used as a reference for future studies, research, and innovation.",No,"본 논문은 최근 연구들을 체계적으로 검토하는 문헌 리뷰(Systematic Literature Review)로, 직접적인 독창적 연구 결과나 실험을 제시하지 않고 기존 연구들을 종합하여 분석한 내용입니다. 따라서 새로운 연구 기여보다는 기존 연구의 정리 및 평가에 초점이 맞춰져 있습니다."
Systematic Review of Virtual Reality Solutions Employing Artificial Intelligence Methods,https://doi.org/10.1145/3488162.3488209,"This paper first presents a systematic literature review of artificial intelligence (AI) methods used in virtual reality (VR) solutions. Based on the systematic literature review, a methodology for locating existing studies, selecting and evaluating contributions, performing analyses, and synthesizing data was proposed. We used search engines, such as Google Scholar and databases such as Elsevier's Scopus, ACM Digital Library, and IEEE Xplore Digital Library. A set of inclusion and exclusion criteria was used to select documents. The results showed that the AI scientific technique most applied in VR applications is machine learning. The findings revealed several fields adopting real-world applications that employ AI in VR: human–robot interaction, emotion interaction and behavior recognition, education, agriculture, transport, manufacturing, and health.",No,"본 논문은 인공지능 기법이 가상현실에 적용된 기존 연구들을 체계적으로 검토하는 리뷰 논문으로, 직접적인 독창적 연구 결과나 실험을 제시하지 않습니다. 따라서 새로운 연구 기여보다는 기존 연구의 종합과 분석에 중점을 둔 논문입니다."
The Ethics of AI Assisted Learning: A Systematic Literature Review on the Impacts of ChatGPT Usage in Education,https://doi.org/10.1145/3606094.3606101,"This systematic literature review explores how gamification in legal education might be In recent years, ChatGPT has become a noteworthy subject in the educational field due to the popularity it gained amongst students across different levels of education all over the world, who use this technology to assess their academic homework, transforming ChatGPT in some sort of auxiliary tool that aids them with the completion of certain tasks that would take more time to complete, such as research and data comparison, to name a few examples; but this form of AI assisted learning, as it were, has also become a problematic subject. This artificial intelligence chatbot is, undeniably, a remarkable advancement in AI regarding the improvements it presents compared to other similar technologies, and it clearly paves the way for future applications not only in education, but also at a social level, in a world more driven towards the development and optimization of digital tools with the help of machine learning. Nevertheless, this sort of technology should be question ed when its application permeates deeply in the performance and development of students and their learning process, especially when taking in consideration the level of accessibility that ChatGPT has worldwide. Students should have an ethical standpoint on whether they use ChatGPT to complement their learning process and how much input is this technology having in their academic work, so they learn to use it more effectively and avoid the abuse of ChatGPT usage, in order to seize the benefits that this AI may have on education. This study's objective is to analyze the current literature around the use of ChatGPT in education, for which we conducted a Systematic Literature Review (SLR) across multiple journal databases such as Scopus, ScienceDirect, ProQuest, IEEE Xplore and ACM Digital Library.",No,"이 논문은 ChatGPT 사용에 관한 기존 연구들을 체계적으로 검토하는 문헌 리뷰(Systematic Literature Review)로, 직접적인 독창적 연구 결과나 실험 데이터를 제시하지 않습니다. 따라서 새로운 연구 기여보다는 기존 연구를 종합하고 분석하는 데 초점이 맞춰져 있습니다."
Advancements and Challenges of Generative AI in Higher Educational Content Creation A Technical Perspective,https://doi.org/10.1145/3641032.3641055,"Generative Artificial Intelligence (AI) has witnessed remarkable advancements, igniting interest in various domains, including Higher Education. This research paper explores the impacts and challenges of integrating Generative AI in content creation within Higher Education. We utilise a literature review and case study approach to gain insights into the potential benefits and complexities of implementing Generative AI in educational settings. Specific research questions are formulated to investigate the influence of Generative AI on content creation efficiency, productivity, quality, and adaptability. The paper also highlights ethical considerations and the evolving role of educators in the AI-driven educational landscape. Furthermore, the research paper examines the practical applications of Generative AI tools such as OpenAI GPT, GPT-Neo, Hugging Face's Transformers Library, Cognii, MosaChat-AI, TeacherMatic, and OpenAI Codex in Higher Education content creation. This comprehensive analysis aims to provide educators, instructional designers, and policymakers with valuable insights and concrete examples of how Generative AI can be leveraged to create personalised learning materials, improve assessment strategies, and enhance the overall educational experience for students pursuing advanced technical subjects. The culmination of this research presents a vision for a future where Generative AI, thoughtfully implemented and ethically managed, empowers educational institutions to meet the diverse and evolving needs of learners in the digital era.",No,"본 논문은 문헌 리뷰와 사례 연구를 통해 생성형 AI의 고등교육 콘텐츠 제작에 미치는 영향과 도전 과제를 탐구하는 종합적 분석에 초점을 맞추고 있으며, 직접적인 실험이나 새로운 연구 결과를 제시하지 않는다. 따라서 독창적인 연구 내용이나 직접적인 기여가 포함된 연구 논문으로 보기 어렵다."
Exploring the Impact of Unsupervised Clustering Methods in Systematic Literature Reviews,https://doi.org/10.1145/3641555.3705184,"About 15 years ago, education researchers conducted a systematic literature review (SLR) on change strategies for improving undergraduate STEM education instruction. Analyzing 191 articles from 1995 to 2008, the researchers identified four broad categories of change strategies through a comprehensive interdisciplinary literature review: (1) disseminating curriculum and pedagogy, (2) developing reflective teachers, (3) enacting policy, and (4) developing a shared vision. With recent developments in STEM education practices, it is imperative to conduct a follow-up SLR comparing the effects of change strategies and associated student success. Similarly, with the influx of scientific articles published in recent decades, it is time consuming to conduct comprehensive SLRs without the assistance of machine learning (ML) analysis techniques. Working with qualitative researchers, we investigate the impact and ability of using ML to assist in these analyses. While most ML approaches can be easily written with a few lines of code, using them to extract meaningful information for literature reviews is challenging. In this work, we describe our experience with integrating machine learning techniques into the analysis pipeline of SLRs. Specifically, this poster will: (1) share results from clustering analysis to identify themes of the chosen abstracts, (2) explore the effects of data bias on found clusters, (3) present the challenges of adding machine learning into SLRs, and (4) assess if the addition of ML in SLRs aligns with the expected goals of qualitative researchers.",No,"본 논문은 기존 문헌을 체계적으로 검토하는 과정에서 머신러닝 기법을 활용한 경험과 방법론을 공유하는 내용으로, 직접적인 독창적 연구 결과나 새로운 실험 데이터를 제시하지 않습니다. 따라서 연구 논문보다는 방법론적 논의 및 사례 보고에 해당합니다."
The Application Landscape and Research Status of Artificial Intelligence in Teacher Education: A Systematic Literature Review,https://doi.org/10.1145/3691720.3691766,"The integration of Artificial Intelligence (AI) has become a key driver in the evolution and transformation of teacher education. However, there has been no comprehensive review of AI applications in this field. In light of this, our study employs a systematic literature review, selecting 45 relevant articles from databases such as Web of Science, EBSCO, and Scopus, aiming to present a comprehensive overview of the field's development, key research themes, and propose a valuable future agenda. Findings are as follows: 1) In the realm of AI applications in teacher education, the United States emerges as a core contributor. Regarding the types of research, theoretical and empirical studies are equally prevalent; there has been a surge in publications in this field since 2021. 2) The research in this field primarily revolves around three themes: Performance Evaluation of AI Technology in Teacher Education, AI Technology's Role in Enhancing Teachers' Core Skills, and AI Assistance in Teacher Education. 3) Based on the literature review, this study offers a meaningful future agenda from both theoretical and practical perspectives. Theoretically, it involves strengthening research in teacher training and professional development, and enhancing educational decision support systems. Practically, it entails developing specialized AI applications for teacher education and promoting AI-assisted educational development.",No,"본 논문은 체계적 문헌고찰(Systematic Literature Review)을 수행하여 기존 연구들을 종합하고 분석하는 리뷰 논문으로, 직접적인 독창적 연구 결과나 실험 데이터를 제시하지 않는다. 따라서 새로운 연구 기여보다는 기존 연구 동향과 향후 연구 방향을 제안하는 데 중점을 두고 있다."
A Systematic Literature Mapping of Early Generative AI Research is CS Education,https://doi.org/10.1145/3641555.3705121,"The widespread release of generative AI tools has led to a rapid rise in publications evaluating their impact on CS education. While there is no doubt that the area is new and rapidly evolving, it is important to begin to catalogue and map the literature at this early stage. In this work, we systematically search and map 82 papers evaluating the impact of generative AI tools on CS education. We then build a literature map of these papers using the axes of population, use of generative AI, and method of evaluation. This work will serve as both a snapshot of the first generation of generative AI papers in the field, and a road-map for further classification and literature review as the field develops.",No,"본 논문은 기존 연구들을 체계적으로 수집하고 분류하는 문헌 맵핑 연구로, 직접적인 독창적 실험이나 새로운 연구 결과를 제시하지 않습니다. 따라서 연구 논문이라기보다는 문헌 리뷰 및 분류에 해당합니다."
"Surveys Considered Harmful? Reflecting on the Use of Surveys in AI Research, Development, and Governance",https://dl.acm.org/doi/10.5555/3716662.3716785,"Calls for engagement with the public in Artificial Intelligence (AI) research, development, and governance are increasing, leading to the use of surveys to capture people's values, perceptions, and experiences related to AI. In this paper, we critically examine the state of human participant surveys associated with these topics. Through both a reflexive analysis of a survey pilot spanning six countries and a systematic literature review of 44 papers featuring public surveys related to AI, we explore prominent perspectives and methodological nuances associated with surveys to date. We find that public surveys on AI topics are vulnerable to specific Western knowledge, values, and assumptions in their design, including in their positioning of ethical concepts and societal values, lack sufficient critical discourse surrounding deployment strategies, and demonstrate inconsistent forms of transparency in their reporting. Based on our findings, we distill provocations and heuristic questions for our community, to recognize the limitations of surveys for meeting the goals of engagement, and to cultivate shared principles to design, deploy, and interpret surveys cautiously and responsibly.",No,"본 논문은 AI 관련 설문조사의 현황과 문제점을 비판적으로 검토하고, 설문조사 방법론에 대한 성찰과 권고를 제시하는 리뷰 및 분석 연구에 해당합니다. 따라서 직접적인 독창적 실험이나 새로운 연구 결과를 제시하는 연구 논문으로 보기 어렵습니다."
The Social Impact of Generative AI: An Analysis on ChatGPT,https://doi.org/10.1145/3582515.3609555,"In recent months, the impact of Artificial Intelligence (AI) on citizens’ lives has gained considerable public interest, driven by the emergence of Generative AI models, ChatGPT in particular. The rapid development of these models has sparked heated discussions regarding their benefits, limitations, and associated risks. Generative models hold immense promise across multiple domains, such as healthcare, finance, and education, to cite a few, presenting diverse practical applications. Nevertheless, concerns about potential adverse effects have elicited divergent perspectives, ranging from privacy risks to escalating social inequality. This paper adopts a methodology to delve into the societal implications of Generative AI tools, focusing primarily on the case of ChatGPT. It evaluates the potential impact on several social sectors and illustrates the findings of a comprehensive literature review of both positive and negative effects, emerging trends, and areas of opportunity of Generative AI models. This analysis aims to facilitate an in-depth discussion by providing insights that can inspire policy, regulation, and responsible development practices to foster a citizen-centric AI.",No,"논문 초록은 기존 문헌을 종합하여 ChatGPT와 생성형 AI의 사회적 영향을 분석하는 문헌 리뷰 성격을 띠고 있으며, 독창적인 실험이나 새로운 연구 결과를 제시하지 않는다. 따라서 직접 기여하는 독창적인 연구 내용이 포함된 연구 논문으로 보기 어렵다."
Deep Learning for Android Malware Defenses: A Systematic Literature Review,https://doi.org/10.1145/3544968,"Malicious applications (particularly those targeting the Android platform) pose a serious threat to developers and end-users. Numerous research efforts have been devoted to developing effective approaches to defend against Android malware. However, given the explosive growth of Android malware and the continuous advancement of malicious evasion technologies like obfuscation and reflection, Android malware defense approaches based on manual rules or traditional machine learning may not be effective. In recent years, a dominant research field called deep learning (DL), which provides a powerful feature abstraction ability, has demonstrated a compelling and promising performance in a variety of areas, like natural language processing and computer vision. To this end, employing DL techniques to thwart Android malware attacks has recently garnered considerable research attention. Yet, no systematic literature review focusing on DL approaches for Android malware defenses exists. In this article, we conducted a systematic literature review to search and analyze how DL approaches have been applied in the context of malware defenses in the Android environment. As a result, a total of 132 studies covering the period 2014–2021 were identified. Our investigation reveals that, while the majority of these sources mainly consider DL-based Android malware detection, 53 primary studies (40.1%) design defense approaches based on other scenarios. This review also discusses research trends, research focuses, challenges, and future research directions in DL-based Android malware defenses.",No,이 논문은 딥러닝을 활용한 안드로이드 악성코드 방어에 관한 기존 연구들을 체계적으로 검토한 문헌 리뷰 논문이다. 따라서 직접적인 독창적 연구 결과나 실험을 제시하기보다는 기존 연구들을 분석하고 요약하는 데 중점을 두고 있다.
"Beyond the Hype: A Comprehensive Review of Current Trends in Generative AI Research, Teaching Practices, and Tools",https://doi.org/10.1145/3689187.3709614,"Generative AI (GenAI) is advancing rapidly, and the literature in computing education is expanding almost as quickly. Initial responses to GenAI tools were mixed between panic and utopian optimism. Many were fast to point out the opportunities and challenges of GenAI. Researchers reported that these new tools are capable of solving most introductory programming tasks and are causing disruptions throughout the curriculum. These tools can write and explain code, enhance error messages, create resources for instructors, and even provide feedback and help for students like a traditional teaching assistant. In 2024, new research started to emerge on the effects of GenAI usage in the computing classroom. These new data involve the use of GenAI to support classroom instruction at scale and to teach students how to code with GenAI. In support of the former, a new class of tools is emerging that can provide personalized feedback to students on their programming assignments or teach both programming and prompting skills at the same time. With the literature expanding so rapidly, this report aims to summarize and explain what is happening on the ground in computing classrooms. We provide a systematic literature review; a survey of educators and industry professionals; and interviews with educators using GenAI in their courses, educators studying GenAI, and researchers who create GenAI tools to support computing education. The triangulation of these methods and data sources expands the understanding of GenAI usage and perceptions at this critical moment for our community.",No,"초록에서 본 논문은 Generative AI 관련 연구 동향, 교육 실천, 도구에 대한 종합적인 리뷰와 설문, 인터뷰를 통한 현황 파악에 초점을 맞추고 있습니다. 이는 기존 연구들을 요약하고 분석하는 문헌 리뷰로, 독창적인 실험이나 새로운 연구 결과를 직접 제시하는 연구 논문은 아닙니다."
